,ip,count,country,city,region,latitude,longitude,loc,org,postal,timezone,country_name,hostname,bogon,anycast
1289,46.27.201.213,38,ES,Cornellà de Llobregat,Catalonia,41.3500,2.0833,"41.3500,2.0833",AS12430 VODAFONE ESPANA S.A.U.,08940,Europe/Madrid,Spain,static-213-201-27-46.ipcom.comunitel.net,,
1290,195.57.42.1,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,,,
1291,31.4.195.36,38,ES,Sevilla,Andalusia,37.3828,-5.9732,"37.3828,-5.9732",AS12430 VODAFONE ESPANA S.A.U.,41001,Europe/Madrid,Spain,31-4-195-36.red-acceso.airtel.net,,
1292,213.143.61.22,38,ES,Sevilla,Andalusia,37.3828,-5.9732,"37.3828,-5.9732",AS12479 Orange Espagne SA,41001,Europe/Madrid,Spain,213-143-61-22-mxul-undef.orange.es,,
1293,62.42.118.227,38,ES,Zamora,Castille and León,41.5063,-5.7446,"41.5063,-5.7446","AS6739 VODAFONE ONO, S.A.",49001,Europe/Madrid,Spain,62.42.118.227.dyn.user.ono.com,,
1294,217.29.96.144,38,ES,Carmona,Andalusia,37.4712,-5.6461,"37.4712,-5.6461",AS48427 VISOVISION S.L.,41410,Europe/Madrid,Spain,cpe-217-29-96-144.dynamic.vivacable.net,,
1295,81.45.52.135,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,135.red-81-45-52.staticip.rima-tde.net,,
1296,77.210.156.96,38,ES,Barcelona,Catalonia,41.3888,2.1590,"41.3888,2.1590",AS12430 VODAFONE ESPANA S.A.U.,08001,Europe/Madrid,Spain,,,
1297,81.45.53.181,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,181.red-81-45-53.staticip.rima-tde.net,,
1298,31.4.196.205,38,ES,Sevilla,Andalusia,37.3828,-5.9732,"37.3828,-5.9732",AS12430 VODAFONE ESPANA S.A.U.,41001,Europe/Madrid,Spain,31-4-196-205.red-acceso.airtel.net,,
1299,79.154.3.44,38,ES,A Coruña,Galicia,43.3713,-8.3960,"43.3713,-8.3960",AS3352 TELEFONICA DE ESPANA,15190,Europe/Madrid,Spain,44.red-79-154-3.dynamicip.rima-tde.net,,
1300,81.45.52.48,38,ES,Madrid,Madrid,40.4165,-3.7026,"40.4165,-3.7026",AS3352 TELEFONICA DE ESPANA,28001,Europe/Madrid,Spain,48.red-81-45-52.staticip.rima-tde.net,,
1301,80.30.108.75,38,ES,Tarragona,Catalonia,41.1167,1.2500,"41.1167,1.2500",AS3352 TELEFONICA DE ESPANA,43001,Europe/Madrid,Spain,,,
1302,87.217.73.154,38,ES,Valladolid,Castille and León,41.6552,-4.7237,"41.6552,-4.7237",AS12479 Orange Espagne SA,47001,Europe/Madrid,Spain,154.73.217.87.dynamic.jazztel.es,,
1303,180.76.5.57,38,JP,Tokyo,Tokyo,35.6895,139.6917,"35.6895,139.6917","AS55967 Beijing Baidu Netcom Science and Technology Co., Ltd.",101-8656,Asia/Tokyo,Japan,baiduspider-180-76-5-57.crawl.baidu.com,,
